jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
2,1,1,2,10,1,2,2,1,2,1,6,3,3,3,1,4,3,4,7,3,1,1,1,1,7,8,5,7,1,9,8,5,4,3,2,5,2,5,2,5,1,4,4,4,2,2,3
1,5,2,2,9,1,1,2,1,3,1,7,4,5,5,2,1,1,4,59,4,2,1,5,9,5,7,4,3,5,6,3,3,5,4,6,1,9,6,5,4,7,4,3,2,1,1,4
6,4,3,3,11,1,2,3,1,4,1,8,1,7,7,3,1,6,5,13,6,2,1,8,10,8,8,6,7,7,4,4,5,4,4,7,6,1,4,1,7,2,4,2,4,2,1,2
2,5,2,3,11,3,5,6,1,3,1,6,5,5,5,5,5,3,1,6,3,3,6,5,5,4,5,3,7,2,9,8,3,6,1,7,5,5,5,1,1,1,4,7,4,2,3,1
2,1,1,3,5,5,5,8,1,3,3,4,4,5,4,6,3,3,4,40,6,2,2,4,7,5,4,5,7,1,6,6,5,6,4,7,5,6,4,1,8,3,4,2,4,3,4,1
8,3,1,4,9,4,7,9,2,4,3,4,2,9,4,7,2,6,5,10,1,2,1,4,7,5,1,7,3,3,9,4,6,4,7,2,6,1,5,1,3,4,1,3,4,2,3,1
7,1,3,2,7,2,2,3,1,4,2,6,1,8,6,3,1,6,5,45,3,3,3,6,10,2,2,2,3,6,9,4,1,6,3,6,2,8,4,3,8,3,4,4,4,1,1,3
3,3,1,1,10,2,2,1,1,3,1,6,5,1,10,2,2,2,3,11,4,1,1,10,9,3,1,4,2,2,9,3,3,6,4,5,1,7,4,3,5,4,4,7,4,1,1,1
3,4,3,2,8,2,3,4,1,3,1,6,5,2,2,3,4,3,2,50,2,1,1,1,2,9,2,7,3,1,9,4,6,6,5,2,3,4,5,3,3,3,4,4,4,1,1,4
5,1,1,4,7,2,4,7,1,4,4,4,1,4,4,5,4,5,2,65,3,1,2,5,5,10,3,7,2,1,8,3,5,5,7,2,4,6,5,5,8,9,4,5,2,1,1,2
3,1,3,1,5,3,2,3,1,4,1,7,1,7,7,3,3,3,4,38,3,2,1,7,10,8,8,6,7,2,9,8,6,6,4,7,5,5,6,1,8,3,4,7,4,2,3,3
8,1,1,4,1,5,6,9,1,4,6,2,1,7,2,7,3,6,4,50,2,2,4,2,8,6,2,7,1,1,9,2,5,7,1,6,6,6,5,1,7,1,4,3,4,2,5,1
4,5,3,2,10,1,2,2,1,4,1,8,1,6,6,2,2,4,4,37,4,2,2,6,10,7,3,7,4,4,4,3,5,5,2,7,2,7,3,1,4,2,4,5,4,3,6,5
7,1,2,3,7,5,8,9,1,5,3,6,2,9,6,7,4,7,4,1,1,3,2,6,7,3,4,3,2,1,9,3,2,3,3,7,1,8,3,1,6,4,1,2,4,2,5,5
8,3,3,4,2,4,6,9,1,3,5,1,4,6,1,6,3,7,5,67,2,1,3,1,7,9,1,7,3,1,5,3,5,2,2,1,3,8,6,5,4,3,4,1,1,1,1,4
1,3,1,2,10,4,3,3,1,2,1,4,4,7,4,2,5,1,1,60,2,3,6,4,10,3,7,2,9,1,9,10,2,5,5,4,3,6,5,3,2,5,4,3,4,1,1,3
4,1,1,3,6,2,1,4,1,4,3,5,1,9,5,3,2,3,4,58,1,1,1,6,10,5,5,4,5,3,9,6,4,5,2,6,5,8,3,3,1,2,4,3,4,1,2,4
7,5,1,4,7,1,3,6,1,4,4,5,1,10,5,5,4,7,4,26,4,1,1,7,10,3,6,2,9,1,6,7,2,4,4,7,3,6,3,1,7,3,2,4,4,3,4,1
3,4,3,2,6,4,2,3,1,3,2,4,6,4,4,2,4,3,2,16,3,2,5,2,2,7,8,5,7,1,9,8,5,5,4,2,5,4,4,4,1,3,4,2,4,1,1,2
5,4,3,4,4,4,6,9,1,3,5,1,6,3,1,6,1,4,4,57,3,1,1,1,8,6,4,5,1,3,9,2,3,5,4,6,2,7,5,2,8,4,4,5,2,2,3,1
7,5,3,3,7,2,5,7,1,4,3,5,1,4,4,5,3,7,5,9,2,2,3,3,6,3,7,2,5,2,6,5,2,6,4,4,2,8,2,4,6,5,1,5,2,1,1,4
3,3,1,1,7,4,4,4,1,3,1,5,6,1,2,3,4,3,4,62,3,1,1,3,3,6,7,5,6,1,9,7,5,5,4,2,5,2,4,2,5,2,4,5,4,2,2,3
2,5,2,2,2,3,3,6,1,4,3,5,1,10,5,5,3,3,5,34,3,2,1,4,5,2,3,2,8,1,9,9,2,4,3,7,5,4,6,1,5,2,4,1,4,2,2,1
1,2,1,2,5,3,2,4,1,3,2,5,6,1,1,2,3,1,1,34,3,1,5,1,2,10,8,7,4,1,9,5,6,4,5,2,1,4,5,3,1,3,4,2,4,1,1,5
8,1,3,3,7,5,8,9,1,3,3,4,5,1,1,6,2,7,4,49,3,2,6,1,8,4,1,5,8,2,9,8,5,5,5,6,3,7,6,1,8,6,4,3,3,2,3,1
8,1,2,4,1,1,2,7,1,3,6,2,4,4,2,5,4,7,4,56,4,3,1,2,5,8,3,7,8,3,9,9,7,6,6,4,1,9,3,5,7,9,4,6,1,1,1,5
4,2,2,2,7,2,4,5,1,3,2,5,5,4,4,4,3,4,5,9,1,3,1,4,3,6,2,7,6,1,9,7,7,6,7,2,5,2,1,1,8,6,4,2,2,2,4,1
1,5,2,1,1,3,2,4,1,3,3,4,6,1,1,2,2,1,3,1,1,2,5,1,3,2,3,2,8,6,9,9,2,3,2,2,1,4,3,4,1,1,4,3,4,1,1,1
3,5,2,1,3,4,4,6,1,2,2,3,3,8,3,4,1,1,4,32,2,2,1,3,4,4,5,3,7,7,4,4,2,6,1,3,1,8,5,5,4,1,4,5,1,1,1,5
4,3,1,3,1,2,4,8,1,3,5,2,4,4,2,6,4,4,5,9,2,2,1,2,6,2,4,2,2,2,9,3,1,6,2,5,2,7,2,3,4,2,1,3,4,2,2,6
2,1,1,2,7,4,5,6,1,3,2,4,5,5,4,4,5,4,3,58,2,2,7,2,5,10,9,6,1,1,9,2,4,6,2,4,2,7,2,4,6,2,4,3,4,1,1,4
1,1,3,1,6,1,1,2,1,3,1,7,5,1,10,2,3,1,2,46,3,2,1,10,10,10,9,6,4,3,9,5,5,6,4,5,1,6,3,1,2,3,4,6,4,2,4,5
3,5,2,1,1,1,1,3,1,2,3,4,3,5,4,2,5,4,4,2,3,3,6,4,10,2,5,2,5,1,9,6,2,5,3,6,1,8,5,3,4,3,4,3,4,1,1,5
3,4,3,2,2,5,4,7,1,2,3,4,3,1,1,5,5,2,1,1,2,2,5,1,6,3,7,2,5,1,8,5,2,3,4,4,6,1,2,1,8,2,1,1,4,3,4,1
9,2,2,4,10,1,2,4,1,4,3,6,1,8,6,3,2,6,4,38,4,3,1,6,10,2,6,1,7,5,9,8,1,6,2,6,2,5,5,1,2,1,4,2,4,3,5,1
4,1,2,2,6,4,7,9,1,4,2,5,1,7,5,7,1,4,3,34,3,1,1,6,8,4,1,5,3,6,4,3,4,5,3,1,2,8,4,5,8,4,1,4,1,1,1,5
2,3,3,2,5,5,5,7,1,4,2,6,1,4,4,5,5,3,1,45,3,3,1,4,6,5,4,5,1,1,4,1,3,6,1,4,6,5,4,1,7,1,1,2,4,2,3,1
9,2,3,3,11,1,2,3,1,3,1,7,3,5,5,2,3,6,4,1,2,3,3,5,10,6,1,7,2,4,3,1,4,3,5,5,6,2,3,1,4,3,4,3,4,3,4,1
6,5,2,3,6,2,4,6,1,4,3,5,1,10,5,5,2,5,5,15,1,1,4,1,4,9,2,7,8,5,9,9,7,2,8,3,1,7,2,5,1,9,4,4,1,1,1,5
8,2,1,3,6,4,5,7,1,3,3,3,4,3,3,5,4,7,4,9,2,3,3,3,5,9,1,7,1,1,9,2,5,6,3,5,3,6,2,1,7,3,4,3,4,2,5,2
3,2,1,2,9,1,1,2,1,3,1,7,4,6,6,2,1,2,5,6,3,1,1,4,9,1,8,1,3,4,9,4,1,6,2,6,4,6,5,1,3,2,4,4,4,2,5,6
9,1,1,3,11,3,6,7,2,5,1,7,3,1,10,6,4,7,4,53,5,1,3,4,6,10,8,7,8,1,9,9,7,4,7,4,2,7,5,4,8,9,1,2,3,1,1,1
6,4,3,3,3,2,3,7,1,3,4,3,4,3,3,5,2,5,3,7,3,2,1,3,6,3,9,1,4,3,9,5,1,5,3,3,3,7,4,5,6,3,4,6,2,1,1,3
1,5,2,1,1,1,1,3,1,3,3,5,5,2,2,2,3,1,1,52,3,1,2,3,1,1,5,1,6,2,9,7,1,5,1,2,2,4,5,4,2,1,4,3,4,1,1,4
6,3,2,3,11,4,5,6,1,4,1,6,1,10,6,5,1,5,6,36,5,1,5,2,5,2,7,1,1,6,7,2,1,5,1,5,4,6,5,1,4,1,4,4,2,2,3,4
4,1,3,2,4,5,3,5,1,3,3,4,4,2,2,3,4,2,1,37,4,3,1,2,3,6,6,5,2,1,6,2,3,5,4,3,1,3,3,1,7,2,4,4,4,2,4,4
8,3,2,4,1,5,8,9,1,3,6,1,4,6,1,6,2,7,5,53,4,3,3,1,8,2,9,1,2,3,5,2,1,6,4,5,5,5,5,1,4,3,1,2,4,2,5,1
5,5,2,3,10,5,6,7,1,3,2,5,5,1,1,5,2,3,2,31,2,1,1,1,6,5,1,7,8,1,8,8,7,3,7,1,6,3,4,5,8,7,4,1,3,1,1,1
2,5,3,2,11,1,2,2,1,3,1,7,5,1,10,2,2,4,5,45,3,1,2,10,10,3,8,2,9,3,9,10,2,6,4,4,6,2,4,1,8,2,4,3,4,3,5,1
9,3,1,3,3,1,3,7,1,3,4,4,4,4,4,5,4,6,4,6,4,2,5,2,6,1,8,1,5,1,9,6,1,5,4,6,2,7,5,1,8,4,4,4,1,2,3,4
2,3,1,3,8,1,1,3,1,3,2,6,5,2,2,2,3,2,3,22,2,3,1,2,2,3,5,2,6,2,6,5,2,8,1,3,3,3,4,1,4,1,4,2,4,2,3,4
8,3,2,3,1,1,1,5,1,3,5,3,5,3,3,4,5,5,4,11,4,2,3,2,4,6,6,5,1,1,9,2,3,5,2,4,2,7,4,4,5,2,4,1,4,1,1,1
2,4,3,2,2,5,6,9,1,2,3,4,4,6,4,7,3,4,4,6,2,1,1,4,7,4,3,4,3,1,9,4,3,5,4,7,4,7,5,1,4,4,4,2,4,3,6,2
9,4,3,4,4,1,2,6,1,3,5,3,4,3,3,4,3,7,5,49,3,2,1,2,5,9,4,7,8,1,9,9,7,5,6,2,4,1,5,1,4,3,4,1,4,2,3,1
3,4,1,1,6,3,2,2,1,4,1,7,1,6,6,2,4,2,2,56,4,1,1,4,9,4,1,5,4,1,9,5,4,6,5,6,4,6,3,1,8,5,4,3,4,3,6,2
7,2,3,2,11,2,4,4,1,4,1,7,1,9,7,3,2,6,5,18,3,1,5,3,2,4,1,5,5,6,9,6,5,6,6,2,6,1,3,1,3,3,1,2,4,2,4,2
6,5,1,3,7,4,7,9,1,4,3,4,1,6,4,7,5,6,4,29,4,2,6,1,7,4,3,4,6,1,9,7,4,6,2,7,6,5,5,1,8,1,2,6,4,2,3,2
8,4,1,4,2,4,2,7,1,3,5,1,5,1,1,5,2,6,5,47,5,3,1,1,6,9,8,6,9,4,8,9,6,5,6,2,6,2,6,3,4,3,4,1,4,1,1,1
7,4,1,4,2,5,5,9,1,4,5,3,1,6,3,7,5,5,4,15,2,2,5,1,8,2,6,1,1,1,4,1,1,3,2,5,6,7,3,2,8,2,4,5,4,1,2,1
3,4,2,2,9,3,2,2,1,4,1,7,1,6,6,2,5,3,3,1,1,1,3,2,1,10,1,7,8,1,8,8,7,3,7,2,5,1,3,1,2,4,3,2,4,2,4,3
3,5,1,1,10,3,3,2,1,4,1,7,1,7,7,2,5,4,4,45,4,3,2,7,9,2,9,1,1,1,9,2,1,6,3,4,2,8,4,5,6,3,4,1,2,1,1,1
9,5,3,2,11,5,6,6,1,3,1,6,4,3,3,4,1,5,5,55,3,3,1,3,5,1,1,2,8,6,6,6,2,5,2,4,6,3,4,1,6,1,4,2,4,2,5,2
3,1,1,1,4,1,1,2,2,2,2,5,5,1,1,1,3,2,5,38,4,3,5,1,1,6,2,7,1,1,9,2,5,6,6,6,4,4,4,1,5,5,4,3,4,3,4,4
1,5,1,2,1,2,2,5,1,2,4,3,3,6,3,4,4,2,2,42,4,1,2,3,3,8,7,6,7,1,9,8,6,5,6,2,2,1,6,1,8,3,4,3,4,2,2,3
3,3,2,1,3,4,2,3,1,4,2,5,1,7,5,2,1,2,4,22,2,3,5,5,10,5,5,4,1,6,3,1,2,8,4,7,5,7,4,1,1,4,4,5,4,3,6,2
9,4,2,3,3,4,8,9,2,2,4,1,4,6,1,6,1,5,6,16,2,1,1,1,8,1,2,1,8,2,9,9,1,5,4,5,3,7,4,3,3,4,4,4,4,1,1,3
4,4,3,2,1,4,7,9,1,3,4,2,5,1,1,6,1,3,5,13,5,3,3,1,7,10,5,7,1,7,4,1,4,4,5,3,4,6,4,3,8,5,4,4,2,1,1,2
1,2,2,2,6,5,2,4,1,3,2,5,5,2,2,3,2,1,3,1,2,3,1,2,3,8,8,6,2,1,9,3,5,2,6,4,1,9,3,5,8,9,4,2,1,1,1,2
9,4,3,3,3,4,1,5,1,3,4,2,4,2,2,3,4,6,4,14,6,2,1,3,4,7,7,5,1,3,5,1,3,4,1,2,6,3,7,3,7,1,4,3,4,1,1,1
5,2,1,4,11,3,3,5,1,4,2,6,1,10,6,4,4,4,4,12,2,2,1,4,3,10,3,7,4,1,9,5,6,4,5,5,2,4,4,1,7,3,4,6,1,3,5,1
1,4,1,2,11,5,3,3,1,3,1,6,4,7,6,2,5,1,2,18,3,1,5,2,1,2,1,3,7,2,9,8,3,7,3,1,1,5,4,5,3,2,4,5,1,1,1,5
4,5,2,3,6,3,3,6,1,3,3,4,5,5,4,4,2,4,5,16,2,2,5,3,5,6,1,7,6,2,9,7,7,5,8,1,5,5,4,5,2,9,1,4,1,1,1,6
1,3,2,1,6,2,2,3,1,2,1,6,3,4,4,2,2,1,2,6,3,1,1,2,1,10,3,7,8,2,4,5,6,6,2,2,5,1,6,1,4,1,4,1,4,2,2,2
2,4,1,2,11,5,6,6,1,3,1,6,5,5,5,5,2,6,5,14,5,3,4,5,5,1,2,1,1,4,9,2,1,4,3,5,3,8,6,5,6,3,4,4,3,1,1,3
4,1,2,2,9,3,3,3,1,5,1,7,2,10,7,3,2,4,5,4,3,3,1,7,10,5,5,4,5,3,4,4,3,6,3,7,2,8,3,1,6,4,4,3,4,2,5,5
2,3,2,3,5,1,2,9,1,3,3,5,4,6,5,7,5,4,4,48,4,1,4,1,8,2,4,2,6,1,5,5,2,5,2,6,6,6,6,1,7,2,4,5,4,2,5,1
2,4,1,3,10,1,2,3,1,3,2,6,5,2,2,2,3,5,4,5,3,2,4,1,1,3,4,3,8,1,9,8,3,3,3,2,3,2,4,3,3,1,4,5,4,2,2,1
9,1,1,3,1,1,1,5,1,2,5,2,3,7,2,3,3,7,5,51,3,2,1,3,4,4,8,3,8,1,5,5,3,7,2,3,3,8,2,5,4,3,4,5,1,1,1,3
4,1,2,3,9,3,4,5,2,3,2,5,5,4,4,4,2,4,6,53,4,1,4,3,3,2,4,2,3,4,9,4,1,5,1,3,2,6,6,4,2,1,4,4,3,1,1,1
5,2,3,3,2,4,8,9,1,3,4,2,4,6,2,7,5,6,4,60,2,2,6,1,8,7,9,4,3,1,8,4,3,5,5,5,6,4,5,1,7,3,4,3,4,3,5,1
8,2,2,3,1,4,5,9,1,4,5,2,1,6,2,7,1,6,5,44,3,3,1,2,8,1,8,1,6,5,7,6,1,7,2,6,6,5,3,1,4,1,4,5,4,3,5,1
3,5,2,2,4,5,3,5,1,3,3,4,5,3,3,4,3,1,4,1,1,2,1,4,4,6,6,5,2,1,9,3,4,3,7,2,4,6,3,5,1,9,1,2,2,1,1,3
5,4,3,3,2,3,4,8,2,4,4,4,2,7,4,6,5,4,4,2,3,3,6,4,7,5,3,5,5,1,9,6,5,6,3,6,5,8,4,2,5,3,4,5,4,1,1,3
8,2,2,3,1,4,1,5,1,3,5,1,6,1,1,3,3,6,5,1,2,1,1,2,4,9,3,7,4,1,9,5,6,3,4,3,6,1,3,1,3,2,4,2,4,3,6,3
1,3,2,2,7,4,3,4,1,4,2,5,1,9,5,3,3,1,2,61,4,2,2,5,10,9,5,7,7,1,8,7,7,4,6,4,2,7,4,4,6,8,4,5,2,1,1,5
3,2,2,1,7,2,2,2,1,3,1,6,5,1,10,2,1,3,5,15,2,3,1,10,10,4,8,3,9,5,5,6,3,3,5,7,5,3,3,1,3,3,4,5,4,2,1,1
6,1,2,4,3,4,8,9,1,5,5,2,2,9,2,7,2,7,4,16,2,3,5,2,8,4,7,3,2,1,9,3,2,4,2,4,6,6,4,1,6,2,4,1,4,1,2,2
9,1,1,4,1,1,2,7,1,4,6,3,1,4,3,5,2,7,4,14,5,2,2,3,5,9,4,7,7,3,9,8,7,4,6,4,2,7,6,4,8,8,4,6,3,1,1,1
1,1,1,1,1,4,3,5,1,2,3,2,3,7,2,3,2,1,2,56,4,1,5,1,4,2,9,1,5,3,9,6,1,6,2,3,2,7,3,5,4,2,4,2,2,1,1,5
5,1,3,2,7,3,5,6,1,5,2,6,2,5,5,5,2,5,5,41,4,2,1,5,4,5,3,5,1,4,9,2,3,5,1,5,4,5,7,1,7,1,4,3,4,2,4,5
3,3,1,1,7,4,5,5,1,3,1,5,5,4,4,4,1,3,6,31,2,2,1,3,3,10,2,7,9,4,6,7,7,3,8,2,5,1,4,1,1,7,4,2,4,2,3,3
4,4,3,2,1,5,4,7,1,3,4,3,4,3,3,5,5,5,3,40,6,1,7,1,6,2,9,1,2,1,9,3,1,5,3,3,4,8,4,5,8,4,4,4,1,1,1,1
3,2,2,1,9,4,4,3,2,3,1,5,5,2,2,2,2,3,4,63,3,3,1,2,1,4,7,3,9,1,6,7,3,6,3,2,1,3,5,3,1,2,1,2,4,1,1,5
2,5,2,2,11,5,3,3,1,3,1,6,4,7,6,2,5,3,1,41,4,2,6,2,1,3,8,2,4,3,9,5,2,6,2,1,5,3,6,5,1,1,4,2,2,1,1,1
6,4,3,3,6,1,3,5,1,4,3,6,1,9,6,4,5,6,3,59,5,3,6,6,10,10,6,7,9,1,6,7,7,5,6,4,6,4,5,1,6,5,4,5,4,2,4,1
1,2,2,1,8,3,2,2,1,3,1,6,4,5,5,2,2,3,5,56,4,2,1,5,10,6,3,6,9,7,5,6,6,6,2,7,3,9,2,3,6,3,4,4,4,1,2,3
9,4,2,3,8,3,6,8,1,4,2,6,1,5,5,6,3,6,5,50,2,3,5,5,6,3,9,1,7,1,9,8,1,6,2,6,6,5,4,1,7,1,1,5,4,3,5,1
5,2,1,3,10,2,4,5,2,3,2,5,6,1,1,3,3,7,4,14,5,3,2,1,3,6,8,4,1,1,9,2,3,4,4,2,4,5,7,5,6,3,4,2,3,1,1,2
5,1,2,3,7,4,6,8,1,4,3,4,1,6,4,6,1,6,6,20,2,1,1,5,6,6,6,5,8,5,7,7,5,6,2,4,2,7,5,5,5,2,4,4,3,1,1,1
6,4,3,3,3,4,8,9,1,3,4,2,4,6,2,7,1,7,6,53,3,1,5,1,8,10,9,6,4,6,4,3,5,5,3,5,4,7,5,2,4,3,4,4,4,1,1,5
9,2,3,3,2,2,2,6,1,4,4,4,2,5,4,4,2,7,4,61,5,3,1,4,4,8,1,7,6,3,9,7,7,4,6,4,1,7,4,4,4,8,4,4,4,1,1,4
4,2,2,2,7,3,4,5,1,4,2,6,1,10,6,4,3,4,2,41,4,1,5,1,4,2,6,1,2,4,9,3,1,5,3,4,2,1,6,1,7,1,4,2,3,3,5,6
8,2,2,4,1,4,8,9,1,4,6,1,1,7,1,6,5,6,4,53,4,3,6,1,7,9,5,7,1,1,9,2,5,5,3,5,3,7,5,4,8,3,4,4,4,1,1,1
5,5,2,3,7,1,2,4,1,4,3,6,2,3,3,3,2,5,5,51,3,3,1,3,3,1,5,1,7,2,6,6,1,7,3,4,4,5,3,1,8,2,2,2,4,2,4,5
3,3,3,1,3,5,3,5,1,4,2,6,1,10,6,4,1,2,4,21,2,2,1,4,3,9,1,7,1,7,7,2,5,4,6,3,1,8,3,5,4,9,4,3,1,1,1,4
9,1,3,3,1,4,5,9,1,4,5,2,1,6,2,7,2,7,5,20,2,3,5,2,7,5,2,5,9,1,8,8,5,4,4,4,3,5,5,1,3,3,4,5,4,2,3,3
1,3,3,2,11,4,2,2,1,3,1,5,4,6,5,2,5,1,2,53,4,2,6,2,1,1,5,1,4,1,9,5,1,4,1,2,5,1,6,1,5,1,3,2,4,2,2,2
9,4,3,3,7,4,5,7,2,3,3,3,6,1,1,5,4,7,4,17,3,3,5,1,6,7,2,7,1,1,9,2,5,8,2,3,6,7,3,4,4,2,1,3,2,1,1,1
5,4,3,2,7,4,8,9,1,4,2,5,1,7,5,7,3,7,4,4,3,1,2,5,7,8,5,7,4,1,9,5,6,7,3,5,4,7,3,3,8,3,4,3,4,1,2,4
2,3,3,2,3,5,4,7,1,3,3,4,4,3,3,5,3,5,2,21,2,1,1,3,5,9,9,6,7,3,7,7,6,3,7,3,4,4,3,1,8,8,4,2,4,2,2,2
6,1,2,3,1,2,2,6,1,3,5,2,5,5,2,4,3,6,4,43,4,2,5,1,5,1,4,1,9,1,8,8,1,5,4,3,6,1,4,1,4,2,4,2,4,3,5,1
9,2,2,3,11,3,5,6,2,4,1,7,2,6,6,5,1,7,6,49,3,3,1,6,4,8,8,6,6,5,9,7,6,5,6,1,2,6,5,5,1,7,4,3,1,1,1,1
2,1,1,3,1,5,5,9,1,3,5,2,5,1,1,6,4,5,5,2,4,3,5,1,7,8,6,7,3,1,6,3,5,6,2,1,2,7,5,5,6,2,4,2,1,1,1,3
9,1,1,4,1,2,3,8,1,4,6,2,1,6,2,6,2,7,4,47,6,1,1,1,7,1,2,1,7,3,9,8,1,5,5,5,1,9,6,5,8,9,4,5,1,1,1,5
6,1,3,3,4,3,4,7,1,4,4,4,2,6,4,5,3,6,5,21,2,3,2,4,6,2,7,1,2,2,9,3,1,4,4,4,6,1,2,1,3,2,2,6,4,3,4,1
1,2,3,2,8,4,4,5,1,3,1,5,5,3,3,4,2,1,2,8,4,2,2,4,4,5,7,4,7,1,6,6,4,4,6,4,1,7,2,4,6,8,4,7,4,1,1,4
1,2,3,1,5,4,2,3,1,3,1,5,5,1,1,2,4,2,1,52,3,1,1,1,1,9,7,7,1,1,9,2,5,5,6,1,6,1,5,4,1,3,4,3,4,1,1,1
7,3,2,4,9,4,6,9,1,5,3,4,2,9,4,7,3,7,4,53,3,2,1,4,8,5,6,4,5,1,8,5,3,5,2,4,3,2,5,1,4,1,4,5,4,3,5,2
4,3,1,2,1,4,7,9,1,4,4,3,1,7,3,7,4,3,3,11,4,2,1,3,8,1,6,1,6,3,5,5,1,6,2,5,5,7,5,3,8,2,4,6,4,1,1,3
8,3,1,3,4,5,8,9,1,3,4,3,4,6,3,7,4,7,4,28,4,3,2,3,8,7,8,5,2,4,9,3,4,3,4,1,5,7,4,5,8,4,4,4,1,1,1,2
1,3,2,2,9,5,3,4,1,3,1,6,3,6,6,3,5,1,1,43,4,2,6,3,3,9,3,7,3,1,6,3,5,7,3,2,1,3,6,3,1,2,4,6,4,1,1,3
2,3,1,2,5,5,4,6,1,3,2,5,5,5,5,5,1,2,5,48,3,3,1,5,5,2,5,2,3,8,4,3,1,5,3,4,3,6,5,3,5,3,4,3,4,1,1,5
6,1,3,2,2,5,8,9,1,4,3,5,1,6,5,7,1,6,6,51,3,1,3,2,7,7,1,7,8,3,9,9,7,7,4,4,6,4,2,1,1,3,1,2,4,2,5,2
6,5,1,3,7,1,3,5,1,4,3,6,1,10,6,4,5,7,3,7,4,2,6,4,4,5,6,4,1,2,4,1,2,5,2,3,3,8,5,5,7,2,4,5,1,1,1,4
6,4,2,4,6,3,7,9,1,3,4,3,5,1,1,6,3,5,4,64,4,1,2,1,7,4,7,3,4,2,9,5,3,6,3,7,5,6,6,1,8,3,4,4,4,3,4,2
3,5,2,2,7,3,2,3,1,3,2,5,5,1,7,3,3,2,1,45,3,3,4,7,10,1,6,1,1,1,5,1,1,7,2,7,6,6,3,1,3,2,4,3,4,3,4,1
1,3,1,1,10,4,1,1,1,3,1,5,5,1,10,2,5,2,1,14,4,1,3,7,8,9,8,6,7,1,9,8,6,4,8,3,2,8,5,5,3,9,1,4,1,1,1,4
2,3,3,2,4,2,4,6,1,3,3,4,5,5,4,4,1,3,5,61,4,2,1,3,4,7,9,4,5,4,9,6,4,4,3,4,6,1,4,1,5,1,4,2,4,3,5,1
4,2,1,3,7,1,1,3,1,3,3,5,5,1,1,2,4,3,1,57,3,3,2,1,1,2,4,2,6,5,4,4,1,5,1,3,5,1,5,1,6,1,1,6,2,2,5,2
2,3,3,2,5,5,5,7,1,4,2,6,1,4,4,5,5,3,4,30,4,1,5,1,6,5,5,4,7,1,9,8,4,6,2,6,5,4,6,1,7,1,4,5,4,3,4,3
6,3,1,3,11,1,2,3,1,3,1,7,4,7,7,3,5,6,3,33,3,3,6,7,10,7,8,5,1,2,9,2,3,5,3,6,6,4,6,1,7,2,4,5,4,3,4,1
8,4,3,3,1,3,5,9,1,4,5,3,1,7,3,7,3,6,4,10,3,1,4,1,7,6,4,5,4,2,9,5,4,5,1,6,6,5,5,1,6,1,4,5,4,3,5,1
2,2,1,3,11,1,2,3,2,2,1,6,4,7,6,2,4,3,4,34,3,2,1,7,10,1,4,1,5,1,9,6,1,4,2,7,5,6,5,1,4,2,4,7,4,3,4,2
3,5,3,2,4,2,2,4,1,2,3,4,4,1,1,2,5,1,2,56,3,3,2,1,3,7,1,7,3,1,8,4,6,7,5,3,1,9,2,5,2,9,4,2,2,1,1,4
2,4,2,3,7,1,1,3,1,3,3,5,5,1,6,2,5,4,1,36,5,1,7,1,2,8,7,6,4,1,5,4,5,5,6,1,2,1,5,4,6,3,4,3,4,1,1,4
9,3,3,3,10,5,2,3,1,4,2,6,1,8,6,3,1,7,5,56,4,3,1,6,10,6,1,7,5,4,7,5,6,5,5,6,3,6,3,1,8,5,1,4,4,3,6,3
6,3,1,4,11,1,2,4,1,3,2,6,5,2,2,3,2,5,6,8,4,2,1,2,3,4,3,4,2,3,9,3,3,5,8,2,6,2,2,2,5,8,4,2,4,2,3,1
2,2,2,3,5,4,1,4,1,3,3,3,6,1,1,2,5,5,3,45,4,1,5,1,2,9,1,7,8,1,9,9,7,6,5,2,2,7,4,5,7,6,4,3,1,1,1,4
5,2,2,3,4,5,5,8,1,3,4,3,4,5,3,6,1,5,5,55,3,2,6,2,7,6,6,5,1,2,9,2,3,5,5,5,2,7,4,3,1,6,4,5,4,1,1,5
7,2,1,4,11,2,5,7,1,5,2,7,3,1,10,6,5,7,3,44,2,2,5,7,5,10,3,7,7,1,9,8,7,6,6,4,5,2,3,1,8,3,4,6,4,3,5,3
6,3,2,4,11,1,3,5,1,4,2,7,1,9,7,4,2,6,4,36,5,1,1,6,10,9,2,7,6,2,8,6,6,5,6,5,6,1,5,1,8,3,4,4,4,3,3,1
5,2,1,5,10,2,3,6,1,3,4,3,5,5,3,4,3,4,4,25,3,3,3,3,4,1,8,1,8,1,9,9,1,5,2,4,2,7,7,5,8,2,4,2,3,1,1,1
9,5,2,3,10,2,3,4,1,4,2,6,1,9,6,3,2,6,5,42,4,2,1,9,10,10,4,7,5,3,5,4,6,4,6,5,6,4,5,1,4,5,4,4,4,3,9,1
